object_id,api_supplier_risk,campaign_flag,client_type,dosage_form,line,market,planned_qty,plant,priority,product_code,uom
BATCH01561,Medium,Yes,OwnBrand,Injectable,INJ1,FR,16081,PLANT_PARENTERAL,Medium,HEP5000SC,Units
BATCH04388,Medium,No,OwnBrand,Device,DEV1,DE,3824,PLANT_SPECIAL,Medium,INSUPEN,Units
BATCH07823,Low,No,OwnBrand,Capsule,CL1,IT,167974,PLANT_SOLIDS,Medium,OMEP20CAP,TabletsCaps
BATCH05382,Medium,No,OwnBrand,Injectable,INJ2,FR,31717,PLANT_PARENTERAL,Low,HEP5000SC,Units
BATCH07992,Low,No,OwnBrand,Capsule,CL2,IT,79136,PLANT_SOLIDS,Low,OMEP20CAP,TabletsCaps
BATCH07807,Medium,No,Contract,Hormonal,HORM2,ES,48387,PLANT_SPECIAL,Low,LEVOHORMIMPL,Units
BATCH03648,Medium,No,OwnBrand,Device,DEV2,DE,48040,PLANT_SPECIAL,Medium,INSUPEN,Units
BATCH01376,Low,No,Contract,Device,DEV1,UK,3406,PLANT_SPECIAL,Low,INHALER,Units
BATCH07215,Low,No,OwnBrand,Capsule,CL1,IT,498957,PLANT_SOLIDS,Low,OMEP20CAP,TabletsCaps
BATCH04432,Low,No,Contract,Device,DEV2,UK,43207,PLANT_SPECIAL,Medium,INHALER,Units
BATCH06290,Low,Yes,Contract,Device,DEV1,UK,15105,PLANT_SPECIAL,Low,INHALER,Units
BATCH01225,Low,Yes,OwnBrand,Tablet,TL1,ES,291093,PLANT_SOLIDS,Low,PARA500TAB,TabletsCaps
BATCH05284,Low,No,OwnBrand,Hormonal,HORM1,PT,46886,PLANT_SPECIAL,Medium,EE30TAB,Units
BATCH07626,High,No,Contract,Capsule,CL1,DE,164667,PLANT_SOLIDS,High,AMOX500CAP,TabletsCaps
BATCH02556,Medium,No,Contract,Hormonal,HORM1,ES,34322,PLANT_SPECIAL,Medium,LEVOHORMIMPL,Units
BATCH08633,Medium,Yes,OwnBrand,Injectable,INJ1,FR,22781,PLANT_PARENTERAL,High,HEP5000SC,Units
BATCH06051,Low,No,OwnBrand,Hormonal,HORM2,PT,27147,PLANT_SPECIAL,High,EE30TAB,Units
BATCH05967,Low,No,OwnBrand,Capsule,CL2,IT,311633,PLANT_SOLIDS,Medium,OMEP20CAP,TabletsCaps
BATCH07360,Medium,No,OwnBrand,Device,DEV1,DE,38179,PLANT_SPECIAL,Medium,INSUPEN,Units
BATCH07484,Medium,Yes,OwnBrand,Device,DEV1,DE,6825,PLANT_SPECIAL,Medium,INSUPEN,Units
BATCH08688,Medium,No,Contract,Hormonal,HORM2,ES,30856,PLANT_SPECIAL,Medium,LEVOHORMIMPL,Units
BATCH09006,Low,No,OwnBrand,Capsule,CL2,IT,111114,PLANT_SOLIDS,Medium,OMEP20CAP,TabletsCaps
BATCH09861,Medium,Yes,OwnBrand,Injectable,INJ1,FR,42900,PLANT_PARENTERAL,Low,HEP5000SC,Units
BATCH06861,Medium,No,OwnBrand,Device,DEV2,DE,31656,PLANT_SPECIAL,High,INSUPEN,Units
BATCH04208,Low,Yes,Contract,Device,DEV1,UK,45527,PLANT_SPECIAL,Medium,INHALER,Units
BATCH01082,High,No,Contract,Capsule,CL2,DE,374873,PLANT_SOLIDS,Low,AMOX500CAP,TabletsCaps
BATCH00390,Medium,No,OwnBrand,Injectable,INJ1,FR,28603,PLANT_PARENTERAL,Low,HEP5000SC,Units
BATCH01030,Medium,Yes,OwnBrand,Tablet,TL1,FR,289927,PLANT_SOLIDS,Low,IBUP400TAB,TabletsCaps
BATCH09859,Low,Yes,OwnBrand,Tablet,TL1,ES,215438,PLANT_SOLIDS,High,PARA500TAB,TabletsCaps
BATCH00725,Medium,No,OwnBrand,Device,DEV2,DE,2014,PLANT_SPECIAL,High,INSUPEN,Units
BATCH02368,High,Yes,Contract,Capsule,CL2,DE,431176,PLANT_SOLIDS,Medium,AMOX500CAP,TabletsCaps
BATCH00207,Low,No,OwnBrand,Tablet,TL2,ES,287904,PLANT_SOLIDS,Medium,PARA500TAB,TabletsCaps
BATCH07204,Medium,No,OwnBrand,Device,DEV1,DE,27716,PLANT_SPECIAL,High,INSUPEN,Units
BATCH01154,Low,No,OwnBrand,Capsule,CL1,IT,95020,PLANT_SOLIDS,Medium,OMEP20CAP,TabletsCaps
BATCH06058,Low,No,Contract,Device,DEV1,UK,15799,PLANT_SPECIAL,Medium,INHALER,Units
BATCH02671,Low,No,Contract,Device,DEV2,UK,41801,PLANT_SPECIAL,Low,INHALER,Units
BATCH04439,Medium,No,OwnBrand,Injectable,INJ2,FR,43029,PLANT_PARENTERAL,High,HEP5000SC,Units
BATCH03228,Medium,No,OwnBrand,Device,DEV1,DE,18709,PLANT_SPECIAL,Medium,INSUPEN,Units
BATCH00361,Medium,No,OwnBrand,Tablet,TL3,FR,92424,PLANT_SOLIDS,Medium,IBUP400TAB,TabletsCaps
BATCH06808,Low,No,Contract,Device,DEV1,UK,43902,PLANT_SPECIAL,Low,INHALER,Units
BATCH03512,High,No,Contract,Injectable,INJ1,UK,22938,PLANT_PARENTERAL,Low,CEF1GIV,Units
BATCH08041,Low,No,Contract,Device,DEV2,UK,41420,PLANT_SPECIAL,Medium,INHALER,Units
BATCH09953,Low,No,Contract,Device,DEV1,UK,49586,PLANT_SPECIAL,High,INHALER,Units
BATCH06906,Low,No,OwnBrand,Tablet,TL3,ES,69022,PLANT_SOLIDS,Medium,PARA500TAB,TabletsCaps
BATCH07155,Medium,No,OwnBrand,Injectable,INJ1,FR,49662,PLANT_PARENTERAL,Low,HEP5000SC,Units
BATCH04418,Low,No,OwnBrand,Tablet,TL2,ES,227289,PLANT_SOLIDS,Medium,PARA500TAB,TabletsCaps
BATCH04850,Low,No,OwnBrand,Capsule,CL1,IT,144914,PLANT_SOLIDS,High,OMEP20CAP,TabletsCaps
BATCH07502,Low,No,Contract,Device,DEV1,UK,14450,PLANT_SPECIAL,Low,INHALER,Units
BATCH09685,Medium,No,Contract,Hormonal,HORM2,ES,20456,PLANT_SPECIAL,Medium,LEVOHORMIMPL,Units
BATCH00772,Low,No,OwnBrand,Hormonal,HORM2,PT,46719,PLANT_SPECIAL,Medium,EE30TAB,Units
BATCH08230,Medium,No,OwnBrand,Injectable,INJ1,FR,20951,PLANT_PARENTERAL,High,HEP5000SC,Units
BATCH06692,Low,No,OwnBrand,Hormonal,HORM1,PT,4687,PLANT_SPECIAL,Medium,EE30TAB,Units
BATCH05145,Low,No,OwnBrand,Tablet,TL2,ES,121659,PLANT_SOLIDS,High,PARA500TAB,TabletsCaps
BATCH01660,Low,No,OwnBrand,Capsule,CL1,IT,120603,PLANT_SOLIDS,Medium,OMEP20CAP,TabletsCaps
BATCH09764,Medium,No,Contract,Hormonal,HORM2,ES,40747,PLANT_SPECIAL,High,LEVOHORMIMPL,Units
BATCH06922,Low,No,Contract,Device,DEV1,UK,28354,PLANT_SPECIAL,Medium,INHALER,Units
BATCH09659,Medium,No,Contract,Hormonal,HORM2,ES,27041,PLANT_SPECIAL,Medium,LEVOHORMIMPL,Units
BATCH06554,Low,Yes,OwnBrand,Capsule,CL1,IT,473394,PLANT_SOLIDS,Medium,OMEP20CAP,TabletsCaps
BATCH07013,Medium,No,OwnBrand,Device,DEV2,DE,12159,PLANT_SPECIAL,Medium,INSUPEN,Units
BATCH02276,Medium,Yes,OwnBrand,Tablet,TL2,FR,288264,PLANT_SOLIDS,Medium,IBUP400TAB,TabletsCaps
BATCH05863,Low,No,OwnBrand,Tablet,TL1,ES,69341,PLANT_SOLIDS,Low,PARA500TAB,TabletsCaps
BATCH00441,High,Yes,Contract,Injectable,INJ1,UK,29218,PLANT_PARENTERAL,High,CEF1GIV,Units
BATCH08871,High,No,Contract,Injectable,INJ1,UK,24173,PLANT_PARENTERAL,Low,CEF1GIV,Units
BATCH04427,Medium,No,Contract,Hormonal,HORM2,ES,4133,PLANT_SPECIAL,High,LEVOHORMIMPL,Units
BATCH02605,Medium,No,Contract,Hormonal,HORM2,ES,39375,PLANT_SPECIAL,Low,LEVOHORMIMPL,Units
