object_id,api_supplier_risk,campaign_flag,client_type,dosage_form,line,market,planned_qty,plant,priority,product_code,uom
BATCH00797,Medium,No,OwnBrand,Device,DEV1,DE,6937,PLANT_SPECIAL,Medium,INSUPEN,Units
BATCH00438,Medium,No,OwnBrand,Injectable,INJ2,FR,10001,PLANT_PARENTERAL,Low,HEP5000SC,Units
BATCH00985,Medium,No,Contract,Hormonal,HORM1,ES,48440,PLANT_SPECIAL,High,LEVOHORMIMPL,Units
BATCH01386,Low,No,OwnBrand,Tablet,TL2,ES,175780,PLANT_SOLIDS,Medium,PARA500TAB,TabletsCaps
BATCH01494,Medium,No,OwnBrand,Injectable,INJ2,FR,21322,PLANT_PARENTERAL,High,HEP5000SC,Units
BATCH00170,Low,No,OwnBrand,Tablet,TL1,ES,233392,PLANT_SOLIDS,High,PARA500TAB,TabletsCaps
BATCH00527,High,No,Contract,Capsule,CL1,DE,291784,PLANT_SOLIDS,Low,AMOX500CAP,TabletsCaps
BATCH00779,Low,Yes,OwnBrand,Capsule,CL2,IT,304246,PLANT_SOLIDS,Medium,OMEP20CAP,TabletsCaps
BATCH00691,Medium,No,OwnBrand,Device,DEV2,DE,25144,PLANT_SPECIAL,Low,INSUPEN,Units
BATCH00843,High,No,Contract,Injectable,INJ1,UK,39540,PLANT_PARENTERAL,High,CEF1GIV,Units
BATCH00880,Low,No,OwnBrand,Tablet,TL1,ES,150343,PLANT_SOLIDS,Medium,PARA500TAB,TabletsCaps
BATCH00129,Medium,No,OwnBrand,Device,DEV1,DE,42897,PLANT_SPECIAL,High,INSUPEN,Units
BATCH00477,High,Yes,Contract,Injectable,INJ2,UK,47698,PLANT_PARENTERAL,High,CEF1GIV,Units
BATCH00449,Medium,No,OwnBrand,Device,DEV1,DE,8266,PLANT_SPECIAL,Medium,INSUPEN,Units
BATCH00659,Low,No,Contract,Device,DEV1,UK,17127,PLANT_SPECIAL,High,INHALER,Units
BATCH01022,Medium,No,OwnBrand,Device,DEV2,DE,36612,PLANT_SPECIAL,Medium,INSUPEN,Units
BATCH01039,Medium,No,OwnBrand,Tablet,TL3,FR,375244,PLANT_SOLIDS,Medium,IBUP400TAB,TabletsCaps
BATCH00266,High,No,Contract,Injectable,INJ1,UK,14932,PLANT_PARENTERAL,High,CEF1GIV,Units
BATCH00398,Medium,No,OwnBrand,Device,DEV1,DE,38226,PLANT_SPECIAL,Low,INSUPEN,Units
BATCH01469,High,No,Contract,Capsule,CL1,DE,209267,PLANT_SOLIDS,Low,AMOX500CAP,TabletsCaps
BATCH01112,Medium,No,Contract,Hormonal,HORM1,ES,31608,PLANT_SPECIAL,High,LEVOHORMIMPL,Units
BATCH00859,High,No,Contract,Injectable,INJ2,UK,47311,PLANT_PARENTERAL,High,CEF1GIV,Units
BATCH00927,Medium,No,Contract,Hormonal,HORM1,ES,36689,PLANT_SPECIAL,Medium,LEVOHORMIMPL,Units
BATCH00612,High,No,Contract,Injectable,INJ1,UK,26709,PLANT_PARENTERAL,Medium,CEF1GIV,Units
BATCH00341,Medium,No,OwnBrand,Tablet,TL1,FR,340455,PLANT_SOLIDS,Medium,IBUP400TAB,TabletsCaps
BATCH00787,High,No,Contract,Injectable,INJ2,UK,36282,PLANT_PARENTERAL,High,CEF1GIV,Units
BATCH01126,Medium,No,OwnBrand,Tablet,TL2,FR,97940,PLANT_SOLIDS,Medium,IBUP400TAB,TabletsCaps
BATCH00687,Low,No,Contract,Device,DEV2,UK,9889,PLANT_SPECIAL,High,INHALER,Units
BATCH00568,Low,No,OwnBrand,Capsule,CL2,IT,416643,PLANT_SOLIDS,Medium,OMEP20CAP,TabletsCaps
BATCH00169,Medium,Yes,OwnBrand,Tablet,TL2,FR,293559,PLANT_SOLIDS,Medium,IBUP400TAB,TabletsCaps
BATCH00062,Medium,Yes,OwnBrand,Device,DEV1,DE,6994,PLANT_SPECIAL,Medium,INSUPEN,Units
BATCH00213,Low,No,OwnBrand,Tablet,TL2,ES,416692,PLANT_SOLIDS,Low,PARA500TAB,TabletsCaps
BATCH00661,Low,No,Contract,Device,DEV1,UK,46707,PLANT_SPECIAL,Medium,INHALER,Units
BATCH01356,Low,No,OwnBrand,Hormonal,HORM2,PT,39228,PLANT_SPECIAL,Medium,EE30TAB,Units
