case_id,activity,event_start,event_end,timestamp,line,area
BATCH00001,Plan Batch,2023-01-01T08:00:00,2023-01-01T09:36:19,2023-01-01T08:00:00,CL2,Planning
BATCH00001,Release Batch,2023-01-01T11:38:04,2023-01-01T12:28:48,2023-01-01T11:38:04,CL2,Planning
BATCH00001,Stage Materials,2023-01-01T13:37:56,2023-01-01T16:37:06,2023-01-01T13:37:56,CL2,Warehouse
BATCH00001,Start Compression,2023-01-01T17:39:25,2023-01-01T17:44:25,2023-01-01T17:39:25,CL2,Production
BATCH00001,Deviation Opened,2023-01-01T18:59:22,2023-01-01T19:29:22,2023-01-01T18:59:22,CL2,QA
BATCH00001,Investigation,2023-01-01T19:29:22,2023-01-02T00:53:38,2023-01-01T19:29:22,CL2,QA
BATCH00001,Stage Materials,2023-01-02T00:53:38,2023-01-02T04:12:51,2023-01-02T00:53:38,CL2,Warehouse
BATCH00001,Extended QA Review,2023-01-02T04:12:51,2023-01-02T10:51:12,2023-01-02T04:12:51,CL2,QA
BATCH00001,Deviation Closed,2023-01-02T10:51:12,2023-01-02T11:51:12,2023-01-02T10:51:12,CL2,QA
BATCH00001,End Compression,2023-01-02T15:05:17,2023-01-02T15:10:17,2023-01-02T15:05:17,CL2,Production
BATCH00001,Start Coating,2023-01-02T16:26:06,2023-01-02T16:31:06,2023-01-02T16:26:06,CL2,Production
BATCH00001,End Coating,2023-01-02T18:22:06,2023-01-02T18:27:06,2023-01-02T18:22:06,CL2,Production
BATCH00001,Start Packaging,2023-01-02T19:26:07,2023-01-02T19:31:07,2023-01-02T19:26:07,CL2,Packaging
BATCH00001,End Packaging,2023-01-03T04:04:32,2023-01-03T04:09:32,2023-01-03T04:04:32,CL2,Packaging
BATCH00001,QC FP Sampling,2023-01-03T06:49:16,2023-01-03T07:23:43,2023-01-03T06:49:16,CL2,QC_Lab
BATCH00001,QC Result (Conforming),2023-01-04T00:49:50,2023-01-04T04:30:48,2023-01-04T00:49:50,CL2,QC_Lab
BATCH00001,QP Decision (Release),2023-01-04T17:03:49,2023-01-04T18:19:50,2023-01-04T17:03:49,CL2,QA
BATCH00002,Plan Batch,2023-01-02T07:57:03,2023-01-02T08:42:19,2023-01-02T07:57:03,TL3,Planning
BATCH00002,Release Batch,2023-01-02T11:34:31,2023-01-02T11:55:22,2023-01-02T11:34:31,TL3,Planning
BATCH00002,Stage Materials,2023-01-02T12:26:33,2023-01-02T14:52:26,2023-01-02T12:26:33,TL3,Warehouse
BATCH00002,Start Compression,2023-01-02T16:10:19,2023-01-02T16:15:19,2023-01-02T16:10:19,TL3,Production
BATCH00002,End Compression,2023-01-02T23:35:31,2023-01-02T23:40:31,2023-01-02T23:35:31,TL3,Production
BATCH00002,Deviation Opened,2023-01-03T00:40:31,2023-01-03T01:40:31,2023-01-03T00:40:31,TL3,QA
BATCH00002,Investigation,2023-01-03T06:35:24,2023-01-03T19:57:12,2023-01-03T06:35:24,TL3,QA
BATCH00002,QC IPC Sampling,2023-01-03T20:57:12,2023-01-03T21:57:12,2023-01-03T20:57:12,TL3,QC_Lab
BATCH00002,Start Rework,2023-01-04T01:34:04,2023-01-04T01:39:04,2023-01-04T01:34:04,TL3,Production
BATCH00002,End Rework,2023-01-04T07:05:15,2023-01-04T07:10:15,2023-01-04T07:05:15,TL3,Production
BATCH00002,Deviation Closed,2023-01-04T10:30:59,2023-01-04T11:30:59,2023-01-04T10:30:59,TL3,QA
BATCH00002,Start Coating,2023-01-04T12:24:01,2023-01-04T12:29:01,2023-01-04T12:24:01,TL3,Production
BATCH00002,End Coating,2023-01-04T16:27:59,2023-01-04T16:32:59,2023-01-04T16:27:59,TL3,Production
BATCH00002,Start Packaging,2023-01-04T17:08:08,2023-01-04T17:13:08,2023-01-04T17:08:08,TL3,Packaging
BATCH00002,End Packaging,2023-01-05T02:49:20,2023-01-05T02:54:20,2023-01-05T02:49:20,TL3,Packaging
BATCH00002,QC FP Sampling,2023-01-05T05:54:53,2023-01-05T06:48:04,2023-01-05T05:54:53,TL3,QC_Lab
BATCH00002,QC Result (Conforming),2023-01-07T05:12:27,2023-01-07T08:38:08,2023-01-07T05:12:27,TL3,QC_Lab
BATCH00002,QP Decision (Release),2023-01-07T15:46:10,2023-01-07T17:17:14,2023-01-07T15:46:10,TL3,QA
BATCH00003,Plan Batch,2023-01-05T03:51:45,2023-01-05T05:09:16,2023-01-05T03:51:45,INJ2,Planning
BATCH00003,Release Batch,2023-01-05T12:50:11,2023-01-05T13:46:58,2023-01-05T12:50:11,INJ2,Planning
BATCH00003,Stage Materials,2023-01-05T17:11:17,2023-01-05T18:36:12,2023-01-05T17:11:17,INJ2,Warehouse
BATCH00003,Start Solution Preparation,2023-01-05T19:37:09,2023-01-05T19:42:09,2023-01-05T19:37:09,INJ2,Production
BATCH00003,End Solution Preparation,2023-01-05T22:26:50,2023-01-05T22:31:50,2023-01-05T22:26:50,INJ2,Production
BATCH00003,Sterile Filtration,2023-01-05T23:01:50,2023-01-06T00:35:35,2023-01-05T23:01:50,INJ2,Production
BATCH00003,Start Filling,2023-01-06T01:12:32,2023-01-06T01:17:32,2023-01-06T01:12:32,INJ2,Production
BATCH00003,End Filling,2023-01-06T06:08:35,2023-01-06T06:13:35,2023-01-06T06:08:35,INJ2,Production
BATCH00003,Capping,2023-01-06T06:43:35,2023-01-06T08:12:05,2023-01-06T06:43:35,INJ2,Production
BATCH00003,Lyophilization,2023-01-06T09:12:05,2023-01-06T22:26:43,2023-01-06T09:12:05,INJ2,Production
BATCH00003,Visual Inspection,2023-01-07T00:26:43,2023-01-07T02:47:44,2023-01-07T00:26:43,INJ2,Production
BATCH00003,Start Packaging,2023-01-07T04:23:43,2023-01-07T04:28:43,2023-01-07T04:23:43,INJ2,Packaging
BATCH00003,End Packaging,2023-01-07T09:57:44,2023-01-07T10:02:44,2023-01-07T09:57:44,INJ2,Packaging
BATCH00003,QC FP Sampling,2023-01-07T13:38:46,2023-01-07T15:10:27,2023-01-07T13:38:46,INJ2,QC_Lab
BATCH00003,QC Result (Conforming),2023-01-08T14:29:20,2023-01-08T16:59:35,2023-01-08T14:29:20,INJ2,QC_Lab
BATCH00003,QP Decision (Release),2023-01-08T18:26:09,2023-01-08T20:07:39,2023-01-08T18:26:09,INJ2,QA
BATCH00004,Plan Batch,2023-01-06T23:12:35,2023-01-07T00:39:11,2023-01-06T23:12:35,INJ1,Planning
BATCH00004,Release Batch,2023-01-07T04:16:07,2023-01-07T05:08:28,2023-01-07T04:16:07,INJ1,Planning
BATCH00004,Stage Materials,2023-01-07T08:54:12,2023-01-07T12:57:09,2023-01-07T08:54:12,INJ1,Warehouse
BATCH00004,Start Solution Preparation,2023-01-07T13:42:41,2023-01-07T13:47:41,2023-01-07T13:42:41,INJ1,Production
BATCH00004,End Solution Preparation,2023-01-07T18:19:57,2023-01-07T18:24:57,2023-01-07T18:19:57,INJ1,Production
BATCH00004,Sterile Filtration,2023-01-07T18:54:57,2023-01-07T21:25:30,2023-01-07T18:54:57,INJ1,Production
BATCH00004,Start Filling,2023-01-07T22:16:14,2023-01-07T22:21:14,2023-01-07T22:16:14,INJ1,Production
BATCH00004,End Filling,2023-01-08T05:42:20,2023-01-08T05:47:20,2023-01-08T05:42:20,INJ1,Production
BATCH00004,Capping,2023-01-08T06:17:20,2023-01-08T08:11:35,2023-01-08T06:17:20,INJ1,Production
BATCH00004,Lyophilization,2023-01-08T09:11:35,2023-01-09T01:20:05,2023-01-08T09:11:35,INJ1,Production
BATCH00004,Visual Inspection,2023-01-09T03:20:05,2023-01-09T07:15:00,2023-01-09T03:20:05,INJ1,Production
BATCH00004,Start Packaging,2023-01-09T08:06:05,2023-01-09T08:11:05,2023-01-09T08:06:05,INJ1,Packaging
BATCH00004,End Packaging,2023-01-09T13:29:23,2023-01-09T13:34:23,2023-01-09T13:29:23,INJ1,Packaging
BATCH00004,QC FP Sampling,2023-01-09T16:04:34,2023-01-09T17:03:46,2023-01-09T16:04:34,INJ1,QC_Lab
BATCH00004,QC Result (Conforming),2023-01-11T03:10:42,2023-01-11T06:57:30,2023-01-11T03:10:42,INJ1,QC_Lab
BATCH00004,QP Decision (Release),2023-01-11T17:05:20,2023-01-11T17:50:12,2023-01-11T17:05:20,INJ1,QA
BATCH00005,Plan Batch,2023-01-07T13:39:00,2023-01-07T14:03:35,2023-01-07T13:39:00,DEV2,Planning
BATCH00005,Release Batch,2023-01-07T16:22:34,2023-01-07T17:04:20,2023-01-07T16:22:34,DEV2,Planning
BATCH00005,Stage Components,2023-01-07T20:25:13,2023-01-07T23:41:25,2023-01-07T20:25:13,DEV2,Warehouse
BATCH00005,Start Component Assembly,2023-01-08T00:45:58,2023-01-08T00:50:58,2023-01-08T00:45:58,DEV2,Production
BATCH00005,End Component Assembly,2023-01-08T05:00:30,2023-01-08T05:05:30,2023-01-08T05:00:30,DEV2,Production
BATCH00005,Start Device Calibration,2023-01-08T05:42:48,2023-01-08T05:47:48,2023-01-08T05:42:48,DEV2,Production
