case_id,activity,event_start,event_end,timestamp,line,area
BATCH00058,Plan Batch,2023-04-05T02:55:57,2023-04-05T04:45:13,2023-04-05T02:55:57,,Planning
BATCH00058,Release Batch,2023-04-05T09:42:50,2023-04-05T10:19:06,2023-04-05T09:42:50,,Planning
BATCH00058,Stage Components,2023-04-05T14:18:03,2023-04-05T17:09:21,2023-04-05T14:18:03,DEV2,Warehouse
BATCH00058,Start Component Assembly,2023-04-05T18:32:34,2023-04-05T18:37:34,2023-04-05T18:32:34,DEV2,Production
BATCH00058,End Component Assembly,2023-04-05T21:10:55,2023-04-05T21:15:55,2023-04-05T21:10:55,DEV2,Production
BATCH00058,Start Device Calibration,2023-04-05T22:26:44,2023-04-05T22:31:44,2023-04-05T22:26:44,DEV2,Production
BATCH00058,End Device Calibration,2023-04-06T00:40:20,2023-04-06T00:45:20,2023-04-06T00:40:20,DEV2,Production
BATCH00058,Final Assembly,2023-04-06T01:28:58,2023-04-06T03:14:13,2023-04-06T01:28:58,DEV2,Production
BATCH00058,Start Packaging,2023-04-06T04:46:37,2023-04-06T04:51:37,2023-04-06T04:46:37,DEV2,Packaging
BATCH00058,End Packaging,2023-04-06T08:52:38,2023-04-06T08:57:38,2023-04-06T08:52:38,DEV2,Packaging
BATCH00058,IFU Insertion Check,2023-04-06T09:27:38,2023-04-06T09:58:18,2023-04-06T09:27:38,DEV2,Packaging
BATCH00058,QC FP Sampling,2023-04-06T11:13:57,2023-04-06T13:03:16,2023-04-06T11:13:57,,QC_Lab
BATCH00058,QC Result (Conforming),2023-04-08T02:40:14,2023-04-08T04:25:31,2023-04-08T02:40:14,,QC_Lab
BATCH00058,QP Decision (Release),2023-04-09T00:57:30,2023-04-09T02:24:18,2023-04-09T00:57:30,,QA
BATCH00062,Plan Batch,2023-04-12T10:59:51,2023-04-12T12:18:57,2023-04-12T10:59:51,,Planning
BATCH00062,Release Batch,2023-04-12T19:13:22,2023-04-12T20:08:14,2023-04-12T19:13:22,,Planning
BATCH00062,Stage Components,2023-04-12T21:01:10,2023-04-13T00:09:23,2023-04-12T21:01:10,DEV1,Warehouse
BATCH00062,Start Component Assembly,2023-04-13T01:46:40,2023-04-13T01:51:40,2023-04-13T01:46:40,DEV1,Production
BATCH00062,End Component Assembly,2023-04-13T03:52:08,2023-04-13T03:57:08,2023-04-13T03:52:08,DEV1,Production
BATCH00062,Start Device Calibration,2023-04-13T04:59:47,2023-04-13T05:04:47,2023-04-13T04:59:47,DEV1,Production
BATCH00062,End Device Calibration,2023-04-13T10:42:03,2023-04-13T10:47:03,2023-04-13T10:42:03,DEV1,Production
BATCH00062,Final Assembly,2023-04-13T11:42:55,2023-04-13T13:35:48,2023-04-13T11:42:55,DEV1,Production
BATCH00062,Start Packaging,2023-04-13T15:19:40,2023-04-13T15:24:40,2023-04-13T15:19:40,DEV1,Packaging
BATCH00062,End Packaging,2023-04-13T18:55:31,2023-04-13T19:00:31,2023-04-13T18:55:31,DEV1,Packaging
BATCH00062,IFU Insertion Check,2023-04-13T19:30:31,2023-04-13T20:01:50,2023-04-13T19:30:31,DEV1,Packaging
BATCH00062,QC FP Sampling,2023-04-13T22:25:04,2023-04-13T23:48:29,2023-04-13T22:25:04,,QC_Lab
BATCH00062,QC Result (Conforming),2023-04-15T09:44:58,2023-04-15T10:15:56,2023-04-15T09:44:58,,QC_Lab
BATCH00062,QP Decision (Release),2023-04-15T22:23:40,2023-04-16T00:15:13,2023-04-15T22:23:40,,QA
BATCH00066,Plan Batch,2023-04-22T22:48:06,2023-04-23T00:13:02,2023-04-22T22:48:06,,Planning
BATCH00066,Release Batch,2023-04-23T05:25:04,2023-04-23T06:20:06,2023-04-23T05:25:04,,Planning
BATCH00066,Stage Materials,2023-04-23T07:11:02,2023-04-23T12:04:43,2023-04-23T07:11:02,INJ1,Warehouse
BATCH00066,Start Solution Preparation,2023-04-23T13:59:26,2023-04-23T14:04:26,2023-04-23T13:59:26,INJ1,Production
BATCH00066,End Solution Preparation,2023-04-23T16:17:11,2023-04-23T16:22:11,2023-04-23T16:17:11,INJ1,Production
BATCH00066,Sterile Filtration,2023-04-23T16:52:11,2023-04-23T19:50:32,2023-04-23T16:52:11,INJ1,Production
BATCH00066,Start Filling,2023-04-23T20:21:06,2023-04-23T20:26:06,2023-04-23T20:21:06,INJ1,Production
BATCH00066,End Filling,2023-04-24T00:54:40,2023-04-24T00:59:40,2023-04-24T00:54:40,INJ1,Production
BATCH00066,Capping,2023-04-24T01:29:40,2023-04-24T02:47:22,2023-04-24T01:29:40,INJ1,Production
BATCH00066,Lyophilization,2023-04-24T03:47:22,2023-04-25T03:05:55,2023-04-24T03:47:22,INJ1,Production
BATCH00066,Visual Inspection,2023-04-25T05:05:55,2023-04-25T08:27:45,2023-04-25T05:05:55,INJ1,Production
BATCH00066,Start Packaging,2023-04-25T09:02:36,2023-04-25T09:07:36,2023-04-25T09:02:36,INJ1,Packaging
BATCH00066,End Packaging,2023-04-25T15:28:25,2023-04-25T15:33:25,2023-04-25T15:28:25,INJ1,Packaging
