event_id,object_id
EVT000001,BATCH00001
EVT000001,MO01065
EVT000002,BATCH00001
EVT000003,BATCH00001
EVT000003,HORM1
EVT000003,MAT03681
EVT000003,MAT03892
EVT000003,MAT02131
EVT000004,BATCH00001
EVT000005,BATCH00002
EVT000006,BATCH00002
EVT000007,BATCH00002
EVT000007,INJ1
EVT000007,MAT01664
EVT000007,MAT02419
EVT000007,MAT03126
EVT000008,BATCH00002
EVT000008,INJ1
EVT000008,INJ1_FILL
EVT000009,BATCH00002
EVT000009,INJ1
EVT000009,INJ1_FILL
EVT000010,BATCH00002
EVT000010,INJ1
EVT000010,INJ1_FILL
EVT000011,BATCH00002
EVT000011,INJ1
EVT000011,INJ1_FILL
EVT000012,BATCH00002
EVT000012,INJ1
EVT000012,INJ1_FILL
EVT000013,BATCH00002
EVT000013,INJ1
EVT000013,INJ1_FILL
EVT000014,BATCH00002
EVT000014,INJ1
EVT000014,INJ1_LYO
EVT000015,BATCH00002
EVT000015,INJ1
EVT000016,BATCH00002
EVT000016,INJ1
EVT000016,INJ1_PACK
EVT000017,BATCH00002
EVT000017,INJ1
EVT000017,INJ1_PACK
EVT000018,BATCH00002
EVT000018,QCS00001
EVT000019,BATCH00002
EVT000019,QCS00001
EVT000020,BATCH00002
EVT000021,BATCH00003
EVT000021,MO00306
EVT000022,BATCH00003
EVT000023,BATCH00003
EVT000023,INJ1
EVT000023,MAT03501
EVT000023,MAT00121
EVT000024,BATCH00003
EVT000024,INJ1
EVT000024,INJ1_FILL
EVT000025,BATCH00003
EVT000025,INJ1
EVT000025,INJ1_FILL
EVT000026,BATCH00003
EVT000026,INJ1
EVT000026,INJ1_FILL
EVT000027,BATCH00003
EVT000027,INJ1
EVT000027,INJ1_FILL
EVT000028,BATCH00003
EVT000028,INJ1
EVT000028,INJ1_FILL
EVT000029,BATCH00003
EVT000029,INJ1
EVT000029,INJ1_FILL
EVT000030,BATCH00003
EVT000030,INJ1
EVT000030,INJ1_LYO
EVT000031,BATCH00003
EVT000031,INJ1
EVT000032,BATCH00003
EVT000032,INJ1
EVT000032,INJ1_PACK
EVT000033,BATCH00003
EVT000033,INJ1
EVT000033,INJ1_PACK
EVT000034,BATCH00003
EVT000034,QCS00002
EVT000035,BATCH00003
EVT000035,QCS00002
EVT000036,BATCH00003
EVT000037,BATCH00004
EVT000037,MO01254
EVT000038,BATCH00004
EVT000039,BATCH00004
EVT000039,TL1
EVT000039,MAT00223
EVT000039,MAT01857
EVT000039,MAT01671
EVT000039,MAT03169
EVT000040,BATCH00004
EVT000041,BATCH00005
EVT000041,MO00104
EVT000042,BATCH00005
EVT000043,BATCH00005
EVT000043,DEV2
EVT000043,MAT01805
EVT000043,MAT01814
EVT000043,MAT02453
EVT000043,MAT01154
EVT000043,MAT01601
EVT000044,BATCH00005
EVT000045,BATCH00006
EVT000045,MO00706
EVT000046,BATCH00006
EVT000047,BATCH00006
EVT000047,CL2
EVT000047,MAT03780
EVT000047,MAT01575
EVT000047,MAT03781
EVT000047,MAT00196
EVT000047,MAT00660
EVT000048,BATCH00006
EVT000048,CL2
EVT000048,CL2_FILL
EVT000049,BATCH00006
EVT000049,CL2
EVT000049,CL2_FILL
EVT000050,BATCH00006
EVT000050,CL2
EVT000050,CL2_FILL
EVT000051,BATCH00006
EVT000051,CL2
EVT000051,CL2_FILL
EVT000052,BATCH00006
EVT000052,CL2
EVT000052,CL2_FILL
EVT000053,BATCH00006
EVT000053,CL2
EVT000053,CL2_FILL
EVT000054,BATCH00006
EVT000054,CL2
EVT000054,CL2_PACK
EVT000055,BATCH00006
EVT000055,CL2
EVT000055,CL2_PACK
EVT000056,BATCH00006
EVT000056,DEVIAT0001
EVT000057,BATCH00006
EVT000057,DEVIAT0001
EVT000058,BATCH00006
EVT000058,DEVIAT0001
EVT000059,BATCH00006
EVT000059,DEVIAT0001
EVT000060,BATCH00006
EVT000060,QCS00003
EVT000061,BATCH00006
EVT000061,QCS00003
EVT000062,BATCH00006
EVT000063,BATCH00007
EVT000063,MO00161
EVT000064,BATCH00007
EVT000065,BATCH00007
EVT000065,TL2
EVT000065,MAT03380
EVT000065,MAT02103
EVT000065,MAT02743
EVT000066,BATCH00007
EVT000066,TL2
EVT000066,TL2_COMP
EVT000067,BATCH00007
EVT000067,TL2
EVT000067,TL2_COMP
EVT000068,BATCH00007
EVT000068,TL2
EVT000068,TL2_COMP
EVT000069,BATCH00007
EVT000069,TL2
EVT000069,TL2_COMP
EVT000070,BATCH00007
EVT000070,TL2
EVT000070,TL2_COAT
EVT000071,BATCH00007
EVT000071,TL2
EVT000071,TL2_COAT
EVT000072,BATCH00007
EVT000072,TL2
EVT000072,TL2_PACK
EVT000073,BATCH00007
EVT000073,TL2
EVT000073,TL2_PACK
EVT000074,BATCH00007
EVT000074,QCS00004
EVT000075,BATCH00007
EVT000075,QCS00004
EVT000076,BATCH00007
EVT000077,BATCH00008
EVT000077,MO00109
EVT000078,BATCH00008
EVT000079,BATCH00008
EVT000079,DEV1
EVT000079,MAT02189
EVT000079,MAT00444
EVT000079,MAT03800
EVT000079,MAT00581
EVT000079,MAT03708
EVT000080,BATCH00008
EVT000080,DEV1
EVT000080,DEV1_ASSEMBLY
EVT000081,BATCH00008
EVT000081,DEV1
EVT000081,DEV1_ASSEMBLY
EVT000082,BATCH00008
EVT000082,DEV1
EVT000082,DEV1_CALIB
EVT000083,BATCH00008
EVT000083,DEV1
EVT000083,DEV1_CALIB
EVT000084,BATCH00008
EVT000084,DEV1
EVT000084,DEV1_ASSEMBLY
EVT000085,BATCH00008
EVT000085,DEV1
EVT000085,DEV1_PACK
EVT000086,BATCH00008
EVT000086,DEV1
EVT000086,DEV1_PACK
EVT000087,BATCH00008
EVT000087,DEV1
EVT000088,BATCH00008
EVT000088,QCS00005
EVT000089,BATCH00008
EVT000089,QCS00005
EVT000090,BATCH00008
EVT000091,BATCH00009
EVT000092,BATCH00009
EVT000093,BATCH00009
EVT000093,HORM2
EVT000093,MAT01673
EVT000093,MAT00120
EVT000093,MAT01387
EVT000093,MAT00938
EVT000094,BATCH00009
EVT000094,HORM2
EVT000095,BATCH00009
EVT000095,HORM2
EVT000095,HORM2_COMP
EVT000096,BATCH00009
EVT000096,HORM2
EVT000096,HORM2_COMP
EVT000097,BATCH00009
EVT000097,HORM2
EVT000097,HORM2_COMP
EVT000098,BATCH00009
EVT000098,HORM2
EVT000098,HORM2_COMP
EVT000099,BATCH00009
EVT000099,HORM2
EVT000099,HORM2_COAT
EVT000100,BATCH00009
EVT000100,HORM2
EVT000100,HORM2_COAT
EVT000101,BATCH00009
EVT000101,HORM2
EVT000101,HORM2_PACK
EVT000102,BATCH00009
EVT000102,HORM2
EVT000102,HORM2_PACK
EVT000103,BATCH00009
EVT000104,BATCH00009
EVT000104,QCS00006
EVT000105,BATCH00009
EVT000105,QCS00006
EVT000106,BATCH00009
EVT000107,BATCH00010
EVT000107,MO00351
EVT000108,BATCH00010
EVT000109,BATCH00010
EVT000109,TL2
EVT000109,MAT02781
EVT000109,MAT03578
EVT000109,MAT02702
EVT000109,MAT01500
EVT000109,MAT00061
