object_id,object_type
TL1,ProductionLine
TL2,ProductionLine
TL3,ProductionLine
CL1,ProductionLine
CL2,ProductionLine
INJ1,ProductionLine
INJ2,ProductionLine
HORM1,ProductionLine
HORM2,ProductionLine
DEV1,ProductionLine
DEV2,ProductionLine
TL1_COMP,Equipment
TL1_COAT,Equipment
TL1_PACK,Equipment
TL2_COMP,Equipment
TL2_COAT,Equipment
TL2_PACK,Equipment
TL3_COMP,Equipment
TL3_COAT,Equipment
TL3_PACK,Equipment
CL1_FILL,Equipment
CL1_PACK,Equipment
CL2_FILL,Equipment
CL2_PACK,Equipment
INJ1_FILL,Equipment
INJ1_LYO,Equipment
INJ1_PACK,Equipment
INJ2_FILL,Equipment
INJ2_LYO,Equipment
INJ2_PACK,Equipment
HORM1_COMP,Equipment
HORM1_COAT,Equipment
HORM1_PACK,Equipment
HORM2_COMP,Equipment
HORM2_COAT,Equipment
HORM2_PACK,Equipment
DEV1_ASSEMBLY,Equipment
DEV1_CALIB,Equipment
DEV1_PACK,Equipment
DEV2_ASSEMBLY,Equipment
DEV2_CALIB,Equipment
DEV2_PACK,Equipment
MAT00001,MaterialLot
MAT00002,MaterialLot
MAT00003,MaterialLot
MAT00004,MaterialLot
MAT00005,MaterialLot
MAT00006,MaterialLot
MAT00007,MaterialLot
MAT00008,MaterialLot
MAT00009,MaterialLot
MAT00010,MaterialLot
MAT00011,MaterialLot
MAT00012,MaterialLot
MAT00013,MaterialLot
MAT00014,MaterialLot
MAT00015,MaterialLot
MAT00016,MaterialLot
MAT00017,MaterialLot
MAT00018,MaterialLot
MAT00019,MaterialLot
MAT00020,MaterialLot
MAT00021,MaterialLot
MAT00022,MaterialLot
MAT00023,MaterialLot
MAT00024,MaterialLot
MAT00025,MaterialLot
MAT00026,MaterialLot
MAT00027,MaterialLot
MAT00028,MaterialLot
MAT00029,MaterialLot
MAT00030,MaterialLot
MAT00031,MaterialLot
MAT00032,MaterialLot
MAT00033,MaterialLot
MAT00034,MaterialLot
MAT00035,MaterialLot
MAT00036,MaterialLot
MAT00037,MaterialLot
MAT00038,MaterialLot
MAT00039,MaterialLot
MAT00040,MaterialLot
MAT00041,MaterialLot
MAT00042,MaterialLot
MAT00043,MaterialLot
MAT00044,MaterialLot
MAT00045,MaterialLot
MAT00046,MaterialLot
MAT00047,MaterialLot
MAT00048,MaterialLot
MAT00049,MaterialLot
MAT00050,MaterialLot
MAT00051,MaterialLot
MAT00052,MaterialLot
MAT00053,MaterialLot
MAT00054,MaterialLot
MAT00055,MaterialLot
MAT00056,MaterialLot
MAT00057,MaterialLot
MAT00058,MaterialLot
MAT00059,MaterialLot
MAT00060,MaterialLot
MAT00061,MaterialLot
MAT00062,MaterialLot
MAT00063,MaterialLot
MAT00064,MaterialLot
MAT00065,MaterialLot
MAT00066,MaterialLot
MAT00067,MaterialLot
MAT00068,MaterialLot
MAT00069,MaterialLot
MAT00070,MaterialLot
MAT00071,MaterialLot
MAT00072,MaterialLot
MAT00073,MaterialLot
MAT00074,MaterialLot
MAT00075,MaterialLot
MAT00076,MaterialLot
MAT00077,MaterialLot
MAT00078,MaterialLot
MAT00079,MaterialLot
MAT00080,MaterialLot
MAT00081,MaterialLot
MAT00082,MaterialLot
MAT00083,MaterialLot
MAT00084,MaterialLot
MAT00085,MaterialLot
MAT00086,MaterialLot
MAT00087,MaterialLot
MAT00088,MaterialLot
MAT00089,MaterialLot
MAT00090,MaterialLot
MAT00091,MaterialLot
MAT00092,MaterialLot
MAT00093,MaterialLot
MAT00094,MaterialLot
MAT00095,MaterialLot
MAT00096,MaterialLot
MAT00097,MaterialLot
MAT00098,MaterialLot
MAT00099,MaterialLot
MAT00100,MaterialLot
MAT00101,MaterialLot
MAT00102,MaterialLot
MAT00103,MaterialLot
MAT00104,MaterialLot
MAT00105,MaterialLot
MAT00106,MaterialLot
MAT00107,MaterialLot
MAT00108,MaterialLot
MAT00109,MaterialLot
MAT00110,MaterialLot
MAT00111,MaterialLot
MAT00112,MaterialLot
MAT00113,MaterialLot
MAT00114,MaterialLot
MAT00115,MaterialLot
MAT00116,MaterialLot
MAT00117,MaterialLot
MAT00118,MaterialLot
MAT00119,MaterialLot
MAT00120,MaterialLot
MAT00121,MaterialLot
MAT00122,MaterialLot
MAT00123,MaterialLot
MAT00124,MaterialLot
MAT00125,MaterialLot
MAT00126,MaterialLot
MAT00127,MaterialLot
MAT00128,MaterialLot
MAT00129,MaterialLot
MAT00130,MaterialLot
MAT00131,MaterialLot
MAT00132,MaterialLot
MAT00133,MaterialLot
MAT00134,MaterialLot
MAT00135,MaterialLot
MAT00136,MaterialLot
MAT00137,MaterialLot
MAT00138,MaterialLot
MAT00139,MaterialLot
MAT00140,MaterialLot
MAT00141,MaterialLot
MAT00142,MaterialLot
MAT00143,MaterialLot
MAT00144,MaterialLot
MAT00145,MaterialLot
MAT00146,MaterialLot
MAT00147,MaterialLot
MAT00148,MaterialLot
MAT00149,MaterialLot
MAT00150,MaterialLot
MAT00151,MaterialLot
MAT00152,MaterialLot
MAT00153,MaterialLot
MAT00154,MaterialLot
MAT00155,MaterialLot
MAT00156,MaterialLot
MAT00157,MaterialLot
MAT00158,MaterialLot
MAT00159,MaterialLot
MAT00160,MaterialLot
MAT00161,MaterialLot
MAT00162,MaterialLot
MAT00163,MaterialLot
MAT00164,MaterialLot
MAT00165,MaterialLot
MAT00166,MaterialLot
MAT00167,MaterialLot
MAT00168,MaterialLot
MAT00169,MaterialLot
MAT00170,MaterialLot
MAT00171,MaterialLot
MAT00172,MaterialLot
MAT00173,MaterialLot
MAT00174,MaterialLot
MAT00175,MaterialLot
MAT00176,MaterialLot
MAT00177,MaterialLot
MAT00178,MaterialLot
MAT00179,MaterialLot
MAT00180,MaterialLot
MAT00181,MaterialLot
MAT00182,MaterialLot
MAT00183,MaterialLot
MAT00184,MaterialLot
MAT00185,MaterialLot
MAT00186,MaterialLot
MAT00187,MaterialLot
MAT00188,MaterialLot
MAT00189,MaterialLot
MAT00190,MaterialLot
MAT00191,MaterialLot
MAT00192,MaterialLot
MAT00193,MaterialLot
MAT00194,MaterialLot
MAT00195,MaterialLot
MAT00196,MaterialLot
MAT00197,MaterialLot
MAT00198,MaterialLot
MAT00199,MaterialLot
MAT00200,MaterialLot
MAT00201,MaterialLot
MAT00202,MaterialLot
MAT00203,MaterialLot
MAT00204,MaterialLot
MAT00205,MaterialLot
MAT00206,MaterialLot
MAT00207,MaterialLot
MAT00208,MaterialLot
MAT00209,MaterialLot
MAT00210,MaterialLot
MAT00211,MaterialLot
MAT00212,MaterialLot
MAT00213,MaterialLot
MAT00214,MaterialLot
MAT00215,MaterialLot
MAT00216,MaterialLot
MAT00217,MaterialLot
MAT00218,MaterialLot
MAT00219,MaterialLot
MAT00220,MaterialLot
MAT00221,MaterialLot
MAT00222,MaterialLot
MAT00223,MaterialLot
MAT00224,MaterialLot
MAT00225,MaterialLot
MAT00226,MaterialLot
MAT00227,MaterialLot
MAT00228,MaterialLot
MAT00229,MaterialLot
MAT00230,MaterialLot
MAT00231,MaterialLot
MAT00232,MaterialLot
MAT00233,MaterialLot
MAT00234,MaterialLot
MAT00235,MaterialLot
MAT00236,MaterialLot
MAT00237,MaterialLot
MAT00238,MaterialLot
MAT00239,MaterialLot
MAT00240,MaterialLot
MAT00241,MaterialLot
MAT00242,MaterialLot
MAT00243,MaterialLot
MAT00244,MaterialLot
MAT00245,MaterialLot
MAT00246,MaterialLot
MAT00247,MaterialLot
MAT00248,MaterialLot
MAT00249,MaterialLot
MAT00250,MaterialLot
MAT00251,MaterialLot
MAT00252,MaterialLot
MAT00253,MaterialLot
MAT00254,MaterialLot
MAT00255,MaterialLot
MAT00256,MaterialLot
MAT00257,MaterialLot
MAT00258,MaterialLot
MAT00259,MaterialLot
MAT00260,MaterialLot
MAT00261,MaterialLot
MAT00262,MaterialLot
MAT00263,MaterialLot
MAT00264,MaterialLot
MAT00265,MaterialLot
MAT00266,MaterialLot
MAT00267,MaterialLot
MAT00268,MaterialLot
MAT00269,MaterialLot
MAT00270,MaterialLot
MAT00271,MaterialLot
MAT00272,MaterialLot
MAT00273,MaterialLot
MAT00274,MaterialLot
MAT00275,MaterialLot
MAT00276,MaterialLot
MAT00277,MaterialLot
MAT00278,MaterialLot
MAT00279,MaterialLot
MAT00280,MaterialLot
MAT00281,MaterialLot
MAT00282,MaterialLot
MAT00283,MaterialLot
MAT00284,MaterialLot
MAT00285,MaterialLot
MAT00286,MaterialLot
MAT00287,MaterialLot
MAT00288,MaterialLot
MAT00289,MaterialLot
MAT00290,MaterialLot
MAT00291,MaterialLot
MAT00292,MaterialLot
MAT00293,MaterialLot
MAT00294,MaterialLot
MAT00295,MaterialLot
MAT00296,MaterialLot
MAT00297,MaterialLot
MAT00298,MaterialLot
MAT00299,MaterialLot
MAT00300,MaterialLot
MAT00301,MaterialLot
MAT00302,MaterialLot
MAT00303,MaterialLot
MAT00304,MaterialLot
MAT00305,MaterialLot
MAT00306,MaterialLot
MAT00307,MaterialLot
MAT00308,MaterialLot
MAT00309,MaterialLot
MAT00310,MaterialLot
MAT00311,MaterialLot
MAT00312,MaterialLot
MAT00313,MaterialLot
MAT00314,MaterialLot
MAT00315,MaterialLot
MAT00316,MaterialLot
MAT00317,MaterialLot
MAT00318,MaterialLot
MAT00319,MaterialLot
MAT00320,MaterialLot
MAT00321,MaterialLot
MAT00322,MaterialLot
MAT00323,MaterialLot
MAT00324,MaterialLot
MAT00325,MaterialLot
MAT00326,MaterialLot
MAT00327,MaterialLot
MAT00328,MaterialLot
MAT00329,MaterialLot
MAT00330,MaterialLot
MAT00331,MaterialLot
MAT00332,MaterialLot
MAT00333,MaterialLot
MAT00334,MaterialLot
MAT00335,MaterialLot
MAT00336,MaterialLot
MAT00337,MaterialLot
MAT00338,MaterialLot
MAT00339,MaterialLot
MAT00340,MaterialLot
MAT00341,MaterialLot
MAT00342,MaterialLot
MAT00343,MaterialLot
MAT00344,MaterialLot
MAT00345,MaterialLot
MAT00346,MaterialLot
MAT00347,MaterialLot
MAT00348,MaterialLot
MAT00349,MaterialLot
MAT00350,MaterialLot
MAT00351,MaterialLot
MAT00352,MaterialLot
MAT00353,MaterialLot
MAT00354,MaterialLot
MAT00355,MaterialLot
MAT00356,MaterialLot
MAT00357,MaterialLot
MAT00358,MaterialLot
MAT00359,MaterialLot
MAT00360,MaterialLot
MAT00361,MaterialLot
MAT00362,MaterialLot
MAT00363,MaterialLot
MAT00364,MaterialLot
MAT00365,MaterialLot
MAT00366,MaterialLot
MAT00367,MaterialLot
MAT00368,MaterialLot
MAT00369,MaterialLot
MAT00370,MaterialLot
MAT00371,MaterialLot
MAT00372,MaterialLot
MAT00373,MaterialLot
MAT00374,MaterialLot
MAT00375,MaterialLot
MAT00376,MaterialLot
MAT00377,MaterialLot
MAT00378,MaterialLot
MAT00379,MaterialLot
MAT00380,MaterialLot
MAT00381,MaterialLot
MAT00382,MaterialLot
MAT00383,MaterialLot
MAT00384,MaterialLot
MAT00385,MaterialLot
MAT00386,MaterialLot
MAT00387,MaterialLot
MAT00388,MaterialLot
MAT00389,MaterialLot
MAT00390,MaterialLot
MAT00391,MaterialLot
MAT00392,MaterialLot
MAT00393,MaterialLot
MAT00394,MaterialLot
MAT00395,MaterialLot
MAT00396,MaterialLot
MAT00397,MaterialLot
MAT00398,MaterialLot
MAT00399,MaterialLot
MAT00400,MaterialLot
MAT00401,MaterialLot
MAT00402,MaterialLot
MAT00403,MaterialLot
MAT00404,MaterialLot
MAT00405,MaterialLot
MAT00406,MaterialLot
MAT00407,MaterialLot
MAT00408,MaterialLot
MAT00409,MaterialLot
MAT00410,MaterialLot
MAT00411,MaterialLot
MAT00412,MaterialLot
MAT00413,MaterialLot
MAT00414,MaterialLot
MAT00415,MaterialLot
MAT00416,MaterialLot
MAT00417,MaterialLot
MAT00418,MaterialLot
MAT00419,MaterialLot
MAT00420,MaterialLot
MAT00421,MaterialLot
MAT00422,MaterialLot
MAT00423,MaterialLot
MAT00424,MaterialLot
MAT00425,MaterialLot
MAT00426,MaterialLot
MAT00427,MaterialLot
MAT00428,MaterialLot
MAT00429,MaterialLot
MAT00430,MaterialLot
MAT00431,MaterialLot
MAT00432,MaterialLot
MAT00433,MaterialLot
MAT00434,MaterialLot
MAT00435,MaterialLot
MAT00436,MaterialLot
MAT00437,MaterialLot
MAT00438,MaterialLot
MAT00439,MaterialLot
MAT00440,MaterialLot
MAT00441,MaterialLot
MAT00442,MaterialLot
MAT00443,MaterialLot
MAT00444,MaterialLot
MAT00445,MaterialLot
MAT00446,MaterialLot
MAT00447,MaterialLot
MAT00448,MaterialLot
MAT00449,MaterialLot
MAT00450,MaterialLot
MAT00451,MaterialLot
MAT00452,MaterialLot
MAT00453,MaterialLot
MAT00454,MaterialLot
MAT00455,MaterialLot
MAT00456,MaterialLot
MAT00457,MaterialLot
MAT00458,MaterialLot
MAT00459,MaterialLot
MAT00460,MaterialLot
MAT00461,MaterialLot
MAT00462,MaterialLot
MAT00463,MaterialLot
MAT00464,MaterialLot
MAT00465,MaterialLot
MAT00466,MaterialLot
MAT00467,MaterialLot
MAT00468,MaterialLot
MAT00469,MaterialLot
MAT00470,MaterialLot
MAT00471,MaterialLot
MAT00472,MaterialLot
MAT00473,MaterialLot
MAT00474,MaterialLot
MAT00475,MaterialLot
MAT00476,MaterialLot
MAT00477,MaterialLot
MAT00478,MaterialLot
MAT00479,MaterialLot
MAT00480,MaterialLot
MAT00481,MaterialLot
MAT00482,MaterialLot
MAT00483,MaterialLot
MAT00484,MaterialLot
MAT00485,MaterialLot
MAT00486,MaterialLot
MAT00487,MaterialLot
MAT00488,MaterialLot
MAT00489,MaterialLot
MAT00490,MaterialLot
MAT00491,MaterialLot
MAT00492,MaterialLot
MAT00493,MaterialLot
MAT00494,MaterialLot
MAT00495,MaterialLot
MAT00496,MaterialLot
MAT00497,MaterialLot
MAT00498,MaterialLot
MAT00499,MaterialLot
MAT00500,MaterialLot
MAT00501,MaterialLot
MAT00502,MaterialLot
MAT00503,MaterialLot
MAT00504,MaterialLot
MAT00505,MaterialLot
MAT00506,MaterialLot
MAT00507,MaterialLot
MAT00508,MaterialLot
MAT00509,MaterialLot
MAT00510,MaterialLot
MAT00511,MaterialLot
MAT00512,MaterialLot
MAT00513,MaterialLot
MAT00514,MaterialLot
MAT00515,MaterialLot
MAT00516,MaterialLot
MAT00517,MaterialLot
MAT00518,MaterialLot
MAT00519,MaterialLot
MAT00520,MaterialLot
MAT00521,MaterialLot
MAT00522,MaterialLot
MAT00523,MaterialLot
MAT00524,MaterialLot
MAT00525,MaterialLot
